mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Model__criterion,param_Model__min_samples_leaf,param_Model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.1693434715270996,0.033978937007649694,0.15035478274027506,0.0018436116528455376,gini,15,100,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 100}",0.8116117216117216,0.8004203791786696,0.8322358835676027,0.814755994785998,0.013177542012237106,8
2.575986464818319,0.23771680877229118,0.22230331103006998,0.019095081246306805,gini,15,200,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 200}",0.811744636316065,0.8012221980304147,0.8316782491116632,0.8148816944860476,0.012629954139196113,1
3.0638182163238525,0.13221386769180637,0.3097355365753174,0.004415424148996699,gini,15,500,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 500}",0.811397174254317,0.8011824211160984,0.8319214280473362,0.8148336744725838,0.012782247770307117,5
3.8306397596995034,0.062176739815324476,0.48720240592956543,0.003631926029775126,gini,15,1000,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 15, 'Model__n_estimators': 1000}",0.8113197278911564,0.8011300830709452,0.8320597884762534,0.8148365331461184,0.012869540486896003,4
2.3338109652201333,0.15147526794202928,0.17037216822306314,0.01574488315690503,gini,20,100,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 100}",0.8100575614861327,0.8008223353654452,0.8324664842824648,0.8144487937113477,0.013286590495996392,25
2.5136605898539224,0.08839560911911316,0.20510943730672201,0.01452521492403267,gini,20,200,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 200}",0.8103317634746205,0.8011279895491391,0.8322820037105751,0.8145805855781116,0.013068601469248724,17
2.9862822691599527,0.07465906303802042,0.32326467831929523,0.014763815846225575,gini,20,500,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 500}",0.8102585034013607,0.801107054331078,0.8325126044254374,0.8146260540526254,0.013187968461211182,14
3.8818881511688232,0.07414893778874831,0.504112958908081,0.015861403159052732,gini,20,1000,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 20, 'Model__n_estimators': 1000}",0.8102438513867085,0.8012473202920882,0.8326614467050303,0.8147175394612757,0.013209144517176204,11
2.2086965243021646,0.04284512598523555,0.14972702662150064,0.000332671606074548,gini,25,100,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 100}",0.8095238095238094,0.80027697293495,0.8329193002316488,0.8142400275634695,0.013737113167969774,41
2.361080805460612,0.023652611823367888,0.19826277097066244,0.007314885683856061,gini,25,200,"{'Model__criterion': 'gini', 'Model__min_samples_leaf': 25, 'Model__n_estimators': 200}",0.80996336996337,0.7996635710457559,0.8326320975231385,0.8140863461774215,0.013771471336757364,47
