mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.28011250495910645,0.008635791250453472,0.04680927594502767,0.00040681976013169044,gini,15,100,"{'criterion': 'gini', 'min_samples_leaf': 15, 'n_estimators': 100}",0.8113500784929357,0.8033083925102165,0.8299068163474943,0.8148550957835488,0.011138009915375072,60
0.5333933035532633,0.008200690530411107,0.08464868863423665,0.005360641104734333,gini,15,200,"{'criterion': 'gini', 'min_samples_leaf': 15, 'n_estimators': 200}",0.8121297749869179,0.8037145357406043,0.8292422670146642,0.8150288592473954,0.010621355317226583,57
1.3468859990437825,0.02511853619713094,0.19771862030029297,0.004833409634999152,gini,15,500,"{'criterion': 'gini', 'min_samples_leaf': 15, 'n_estimators': 500}",0.8121925693354264,0.8041123048837677,0.829843925243441,0.8153829331542117,0.010744390398583143,56
2.5888511339823403,0.045177678263416975,0.37259960174560547,0.005229882466192456,gini,15,1000,"{'criterion': 'gini', 'min_samples_leaf': 15, 'n_estimators': 1000}",0.8116923076923077,0.803965758357339,0.8293869165539867,0.8150149942012112,0.010640770812996697,58
0.25759196281433105,0.004799369459692636,0.04635429382324219,0.0003172739508774554,gini,20,100,"{'criterion': 'gini', 'min_samples_leaf': 20, 'n_estimators': 100}",0.8120136054421769,0.8022166208883231,0.8304780772093121,0.8149027678466041,0.011717164699566707,59
0.5212662220001221,0.01166178481748649,0.08170239130655925,0.004485903381594358,gini,20,200,"{'criterion': 'gini', 'min_samples_leaf': 20, 'n_estimators': 200}",0.8122522239665098,0.8037208163060227,0.8311185182855887,0.8156971861860404,0.011447251255527799,54
1.2466584046681721,0.0071697367940859544,0.1924891471862793,0.0015261386238041759,gini,20,500,"{'criterion': 'gini', 'min_samples_leaf': 20, 'n_estimators': 500}",0.8124552590266877,0.8040474057077779,0.830374306887624,0.8156256572073631,0.010979222798886058,55
2.529758850733439,0.027025197332251102,0.3755917549133301,0.004798288744782249,gini,20,1000,"{'criterion': 'gini', 'min_samples_leaf': 20, 'n_estimators': 1000}",0.8125264259549974,0.8046231242044617,0.8307118224793769,0.815953790879612,0.010922916801073181,45
0.25736498832702637,0.004650322211081818,0.046733458836873375,0.0003037647526852296,gini,25,100,"{'criterion': 'gini', 'min_samples_leaf': 25, 'n_estimators': 100}",0.812479330193616,0.8040861358611912,0.8313124325230863,0.8159592995259645,0.011384212676507912,44
0.5405709743499756,0.02039279859097844,0.08895643552144368,0.000787507462234469,gini,25,200,"{'criterion': 'gini', 'min_samples_leaf': 25, 'n_estimators': 200}",0.8133919413919415,0.8040840423393849,0.8310325671100489,0.8161695169471251,0.01117562649406699,43
1.2918251355489094,0.0596355785418969,0.20010836919148764,0.004750871957419595,gini,25,500,"{'criterion': 'gini', 'min_samples_leaf': 25, 'n_estimators': 500}",0.8136316064887493,0.8047215197293496,0.8318166095405803,0.8167232452528932,0.011275479166629167,21
2.5772788524627686,0.07034007953465442,0.4079701900482178,0.020122124136242155,gini,25,1000,"{'criterion': 'gini', 'min_samples_leaf': 25, 'n_estimators': 1000}",0.8132213500784928,0.8048890014738395,0.8317935494690942,0.8166346336738087,0.011245786007323866,25
0.24510685602823892,0.008992194679169124,0.04675865173339844,0.0006951146180657801,gini,30,100,"{'criterion': 'gini', 'min_samples_leaf': 30, 'n_estimators': 100}",0.813171114599686,0.8053631841629263,0.8333752607360356,0.8173031864995494,0.011803237468979008,1
